,post,author,status,date_num,post_ai_response
17016,"An Obama campaign tactic for rallying voters is to ""offer them cell phones.""",Adam Putnam,pants-fire,4687,"The Obama campaign has used the tactic of offering cell phones to potential voters as a way to rally them to the polls. This tactic has been used to encourage people to register to vote, to remind them of important election dates, and to provide them with information about the candidates and their platforms. It has been seen as an effective way to reach out to potential voters and to increase voter turnout."
6423,"Says congressional candidate Dino Rossi once suggested ""the state build homes for unwed mothers.""",Washington State Democratic Party,half-true,6856,"Dino Rossi, a congressional candidate, proposed that the state should build homes for unwed mothers. This suggestion was made in order to provide a safe and secure environment for these mothers and their children. Rossi believes that this would be beneficial for both the mothers and their children, as it would provide them with a stable home and the resources they need to succeed."
2229,"""Health insurance companies' costs are only 4 percent of all health care spending.""",America's Health Insurance Plans,true,3722,"Health insurance companies account for only 4 percent of all health care spending. This means that the majority of health care spending is coming from other sources, such as individuals, employers, and government programs. This is important to note as it highlights the importance of other sources of funding for health care, and the need for a comprehensive approach to health care financing."
12225,"Says Mitt Romney wrote that if Social Security was done ""in the private sector, it would be called criminal.""",Rick Perry,barely-true,4272,"Mitt Romney wrote that if Social Security was handled in the private sector, it would be considered criminal. This statement was made in reference to the privatization of Social Security, which is a controversial issue. Romney believes that the government should not be involved in managing Social Security, and that it should be handled by the private sector. He believes that if the private sector were to manage Social Security, it would be considered criminal due to the potential for fraud and abuse."
4225,"On foreign policy, Joe Biden was against aid for Vietnam, said the fall of the Shah was ""a step forward"" for human rights in Iran, opposed Reagan's defense build-up and voted against the first Gulf War.",Robert Gates,mostly-true,5126,"Joe Biden has a long history of foreign policy views. He was against aid for Vietnam, said the fall of the Shah was ""a step forward"" for human rights in Iran, opposed Reagan's defense build-up, and voted against the first Gulf War. Biden has consistently advocated for human rights and diplomacy over military intervention."
12428,"""Overall we currently have $981 million, almost a billion dollars in active development projects right here in the City of Richmond.""",Dwight Jones,barely-true,4051,The City of Richmond has a total of $981 million in active development projects. This is a significant amount of money and shows the city's commitment to growth and development. These projects are likely to have a positive impact on the local economy and create jobs for the community.
14240,“Black Lives Matter and antifa set Catholic church on fire in Minneapolis.”,Instagram posts,false,7780,"This incident refers to a protest that occurred in Minneapolis in May 2020, in which members of the Black Lives Matter movement and antifa set a Catholic church on fire. The protest was in response to the death of George Floyd, an unarmed black man who was killed by a police officer. The incident sparked outrage and condemnation from both sides of the political spectrum."
10684,"Says Tammy Baldwin ""supported legislation allowing citizens to withhold funding for our troops.""",Restoration PAC,barely-true,6289,Tammy Baldwin is a politician who has supported legislation that would allow citizens to withhold funding for the troops. This legislation would allow citizens to choose not to financially support the military if they do not agree with its actions. This could potentially have a negative impact on the military's ability to carry out its operations.
16780,"Says a man in Ferguson, Mo., was photographed holding a sign that said, ""No mother should have to fear for her son's life every time he robs a store.""",Chain email,pants-fire,5449,"This statement is a commentary on the death of Michael Brown, an unarmed black teenager who was shot and killed by a police officer in Ferguson, Mo. in 2014. It speaks to the systemic racism and police brutality that exists in the United States, and the fear that many black mothers have for their sons when they are out in public. It also highlights the double standard that exists when it comes to how police officers treat people of color versus white people."
69,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,Greg Abbott,true,7759,"Under the Biden administration, the number of children in Border Patrol custody has more than doubled the peak number of children in custody under the Trump administration in 2019. This increase has been attributed to the influx of unaccompanied minors crossing the US-Mexico border. The Biden administration has been criticized for its handling of the situation, with some arguing that the administration has not done enough to address the root causes of the migration."
3363,"Says that under the Obama administration, ""the debt has nearly doubled.""",Mike Pence,mostly-true,6058,"Under the Obama administration, the US national debt has increased significantly. It has nearly doubled since Obama took office in 2009, reaching a total of over $20 trillion in 2017. This increase in debt is largely attributed to increased government spending, including on healthcare, infrastructure, and defense."
6107,“80% of the people” want the option of vote by mail,Amy Klobuchar,half-true,7441,"80% of the people want the option of voting by mail, which would allow them to cast their ballots without having to go to a polling place. This could increase voter turnout and make voting more accessible to those who may not be able to make it to the polls on election day. It could also reduce the risk of spreading COVID-19 by reducing the number of people gathering in one place."
1495,"""Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.""",Ron Wyden,true,4554,"Oregon schools receive millions of dollars in federal school lunch assistance each year, but they are not allowed to spend that money in Oregon. Instead, the money must be used for other purposes, such as purchasing food from out-of-state vendors or providing additional services to students. This requirement is in place to ensure that the money is used for its intended purpose and not diverted to other areas."
15666,"Says a photo shows Patrick Mahomes wearing a shirt that says, “The Great State of Kansas.”",Viral image,pants-fire,7340,"This photo shows Kansas City Chiefs quarterback Patrick Mahomes wearing a shirt that reads ""The Great State of Kansas"". The shirt is a tribute to Mahomes' home state, and is a reminder of his pride in his roots. The shirt is a popular item among Kansas natives and Chiefs fans alike."
15739,"Says a photo of a tortured man is U.S. diplomat Chris Stevens, who was killed in the 2012 Benghazi attack.",Viral image,pants-fire,7262,"This photo is of U.S. diplomat Chris Stevens, who was killed in the 2012 Benghazi attack. He was tortured before his death, and the photo serves as a reminder of the tragedy that occurred in Benghazi. The attack was a major event in U.S. history, and the photo serves as a reminder of the violence and loss of life that occurred."
6424,"Says Florida's economy ""is largely propped up on low-wage work.""",Andrew Gillum,half-true,6847,"Florida's economy is heavily reliant on low-wage work, which is often characterized by low pay, limited benefits, and few opportunities for advancement. This type of work is often found in industries such as hospitality, retail, and agriculture, and it is estimated that nearly one-third of Florida's workforce is employed in these industries. Low-wage work is often seen as a necessary evil, as it provides employment opportunities for those who may not have access to higher-paying jobs. However,"
179,Says Texas “either is near the bottom or at the very bottom when it comes to testing per capita.”,Veronica Escobar,true,7417,Texas is not performing well when it comes to testing per capita. It is either near the bottom or at the very bottom of the rankings. This indicates that Texas is not doing enough testing to accurately assess the spread of the virus.
2091,New Castle County's unemployment rate has not almost doubled in the last two years.,Chris Coons,true,3938,"New Castle County's unemployment rate has remained relatively stable over the past two years, despite the economic downturn caused by the COVID-19 pandemic. The county's unemployment rate has not almost doubled, but has instead increased slightly from 3.2% in 2019 to 4.2% in 2021. This is still lower than the national average of 6.2%."
16077,"""Giant rats plague New York City as 4 homeless men found eaten alive""",Bloggers,pants-fire,6766,"Giant rats have become a major problem in New York City, as four homeless men were found dead after being eaten alive by the rodents. This has caused alarm among city officials and residents, as the rats have become increasingly bold and aggressive. The city is taking steps to address the issue, such as increasing sanitation efforts and setting up traps to catch the rats."
3511,"""We got a million jobs.""",Rick Scott,mostly-true,5939,"We Got a Million Jobs is a phrase that is often used to describe the current job market, which is characterized by a large number of available jobs. This phrase is often used to emphasize the fact that there are plenty of job opportunities available, and that people should take advantage of them."
5519,U.S. Sen. Kay Bailey Hutchison “voted to continue Roe v. Wade.”,Rick Perry,mostly-true,3666,"U.S. Sen. Kay Bailey Hutchison is a pro-choice politician who has consistently voted in favor of protecting the right to abortion established by the landmark Supreme Court case Roe v. Wade. She has voted to continue the protections of Roe v. Wade, and has been a vocal advocate for women's reproductive rights."
1760,"""Nearly half of all pregnancies in the U.S. are unintended.""",Edith Ajello,true,4304,"Nearly half of all pregnancies in the U.S. are unintended, indicating that many people are not using contraception or are using it incorrectly. This has serious implications for public health, as unintended pregnancies can lead to a variety of health risks for both the mother and the child. Additionally, unintended pregnancies can lead to financial strain and other social issues."
3912,"Says Mitch McConnell credits Republicans ""for recent economic improvements"" even though they took control of the Senate only ""days ago.""",Gwen Moore,mostly-true,5485,"Mitch McConnell, the Senate Majority Leader, has credited Republicans for recent economic improvements, even though they only recently took control of the Senate. This suggests that the Republican policies have had a positive effect on the economy, even though they have only been in power for a short period of time."
6477,"Says Patrick Morrisey’s ""family’s firm was paid $500,000 to lobby AGAINST Trump’s last Supreme Court nominee, Neil Gorsuch.""",West Virginia Democratic Party,half-true,6765,"Patrick Morrisey's family firm was paid $500,000 to lobby against President Trump's last Supreme Court nominee, Neil Gorsuch. This was done in an effort to prevent Gorsuch from being confirmed to the Supreme Court. The Morrisey family firm was hired by a group of liberal organizations to oppose Gorsuch's nomination."
12472,"Red light camera installed to ""promote public safety.""",City of Atlanta,barely-true,3968,"Red light cameras are installed at intersections to help promote public safety by deterring drivers from running red lights. The cameras take pictures of vehicles that enter the intersection after the light has turned red, and the registered owner of the vehicle is then sent a ticket in the mail. Red light cameras are used to help reduce the number of accidents caused by drivers running red lights, and to help enforce traffic laws."
6989,"""You're more likely to be the victim of a violent crime in Milwaukee than in 96 percent of the country.""",Van Wanggaard,half-true,6035,"In Milwaukee, the risk of being a victim of a violent crime is higher than in 96 percent of the country. This means that Milwaukee is one of the most dangerous cities in the United States when it comes to violent crime. It is important to take extra precautions when living in or visiting Milwaukee to ensure safety."
10092,"Murray Energy is ""the largest coal company in the United States.""",Joe Manchin,barely-true,7241,"Murray Energy is the largest coal company in the United States, with operations in Ohio, Pennsylvania, West Virginia, Kentucky, Illinois, and Utah. It produces and sells coal to electric utilities, industrial users, and other coal producers. The company also owns and operates several coal mines, processing plants, and related infrastructure. Murray Energy is committed to providing reliable, affordable, and clean energy to its customers."
9204,"""One percent of the American people make over 21 percent of all the income in America. That wasn’t the way before George Bush became president.""",Joe Biden,half-true,3218,"This statistic highlights the growing inequality in the United States. It suggests that the policies of the George W. Bush administration have led to a concentration of wealth among the top 1% of Americans, who now make more than 21% of all income in the country. This has had a negative effect on the economic well-being of the majority of Americans, who have seen their incomes stagnate or decline."
6360,"Says there are ""2,000 inadmissible migrants arriving every day""",Ted Budd,half-true,6948,"This statement suggests that there are 2,000 migrants arriving in a given area every day who are not legally allowed to enter the country. This could be due to a variety of reasons, such as not having the proper documentation or not meeting the requirements for entry. This could be a cause for concern for the country, as it could lead to an influx of people who are not legally allowed to be in the country."
1921,"""We closed that plant down. It was a $27 million-dollar plant, operating full steam, and we closed it down.""",Frederica Wilson,true,4075,This statement is referring to a plant that was closed down despite it being a large and successful operation. It was worth $27 million and was running at full capacity before it was shut down.
4196,"""The only time over the last 25 years when the state’s unemployment rate exceeded the U.S. average was when (Mary) Burke was commerce secretary.""",Republican Party of Wisconsin,mostly-true,5148,"This statement suggests that during the time Mary Burke was commerce secretary, the state's unemployment rate was higher than the U.S. average. This has not been the case for the past 25 years, indicating that Mary Burke's tenure as commerce secretary was an anomaly."
10979,"When mentioning Villanova’s buzzer-beating win in the national championships, Hillary Clinton said: ""I love those come-from-behind victories.""",Hillary Clinton,barely-true,5940,"Villanova's buzzer-beating win in the national championships was a remarkable come-from-behind victory that was celebrated by Hillary Clinton. She expressed her admiration for the win by saying ""I love those come-from-behind victories."" This win was a major accomplishment for Villanova and was celebrated by many."
7025,"""If Question 1 were to pass here in Nevada, we would have more restrictive gun laws here in Nevada dealing with the transfer of firearms than they do in California.""",Robert Uithoven,half-true,6001,"If Question 1 were to pass in Nevada, it would result in stricter gun laws in the state than those in California. This would include more restrictions on the transfer of firearms, such as background checks and waiting periods."
7621,"""28 percent of Kentuckians don’t have any online access.""",John Oliver,half-true,5244,"28 percent of Kentuckians do not have access to the internet, meaning they are unable to take advantage of the many benefits that come with having an online presence. This lack of access can have a significant impact on their ability to access information, stay connected with family and friends, and participate in the digital economy."
1981,"Says the person who Florida U.S. Rep. Allen West first hired as chief of staff told people attending a Tea Party rally that, 'We will use bullets if ballots don't work.'",Debbie Wasserman Schultz,true,4026,"Allen West, a U.S. Representative from Florida, was accused of hiring a chief of staff who allegedly told people attending a Tea Party rally that they would use bullets if ballots didn't work. This statement has been widely criticized and has been denied by West and his staff."
16332,"""We’ve got dozens of counties around America that have zero insurers left.""",Paul Ryan,pants-fire,6442,We have learned that there are dozens of counties in America that have no health insurance providers left. This means that people living in these counties have no access to health insurance and are unable to get the care they need. This is a serious issue that needs to be addressed in order to ensure that all Americans have access to quality healthcare.
9876,“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”,Mike Pence,barely-true,7543,"President Trump has taken a proactive approach to leading the country, utilizing the full resources of the federal government and forming partnerships with governors from both political parties. He has worked to ensure that the government is working together to provide the best possible outcome for the nation."
7982,"""Today, about 40 percent of guns are purchased without a background check.""",Kirsten Gillibrand,half-true,4772,"Today, approximately 40 percent of guns are purchased without undergoing a background check, meaning that the buyer does not have to provide any information about their criminal history or mental health. This has raised concerns about the potential for guns to end up in the hands of people who should not have access to them."
7863,Fewer Democrats were on the Georgia general election ballot in 2012 than in more than 100 years.,Bryan Long,half-true,4862,"In 2012, the Georgia general election ballot had the fewest number of Democrats in over 100 years. This is likely due to the increasing Republican presence in the state, as well as the fact that fewer Democrats were running for office. This has had a significant impact on the political landscape in Georgia, as the Republican party has become increasingly dominant in the state."
8473,"Proposition 2 on November’s Texas ballot ""does not cost state taxpayers any money.""",H204TEXAS PAC,half-true,4314,"Proposition 2 on November's Texas ballot is a constitutional amendment that would allow the state to issue bonds to finance the construction of flood infrastructure projects. It does not require any additional taxes or fees to be paid by state taxpayers, and the bonds will be repaid with existing revenue sources. The amendment is supported by a broad coalition of environmental, business, and civic groups, and is expected to help reduce the risk of flooding in Texas."
7689,Greg Abbott defended more than $5 billion in public school funding cuts in fighting hundreds of school districts in court.,Wendy Davis,half-true,5085,Greg Abbott is the Governor of Texas and he has defended more than $5 billion in public school funding cuts in court. He is fighting hundreds of school districts who are challenging the cuts. The cuts have been controversial and have been met with criticism from many people. Abbott has argued that the cuts are necessary to balance the state budget and that the school districts should be able to make up the difference with local funds.
16650,"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam.",Democratic Party of Wisconsin,pants-fire,5857,"Wisconsin has seen a significant decrease in the number of students taking the ACT exam, dropping from second in the country to 41st. This suggests that fewer students in Wisconsin are taking the exam, which could have a negative impact on college admissions and other opportunities."
205,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",Jane O’Meara Sanders,true,7330,"Bernie Sanders has a strong base of support in the conservative and rural parts of Vermont. He has been able to build a coalition of voters from both sides of the political spectrum, which has helped him to become a successful politician in the state. His policies have resonated with many rural voters, who appreciate his focus on economic issues and his commitment to protecting the environment."
8880,"""Roy Barnes proclaimed Mexican workers good for Georgia.""",Nathan Deal,half-true,3937,"Roy Barnes, the former Governor of Georgia, declared that Mexican workers were beneficial to the state of Georgia. He argued that they provided a valuable source of labor and helped to stimulate the economy. He also noted that they were hardworking and reliable, and that they had a positive impact on the state's culture."
4046,"""Women in Florida make 83 cents for every dollar a man makes.""",Charlie Crist,mostly-true,5323,"Women in Florida make 83 cents for every dollar a man makes, meaning that women in Florida are paid less than men for the same work. This wage gap is a nationwide issue, and it is even more pronounced in Florida. This wage gap is a result of systemic discrimination and unequal opportunities for women in the workplace."
14101,Says Anthony Fauci will make millions off new book.,Charlie Kirk,false,7822,"This statement suggests that Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, will make a large amount of money from the sale of his new book. It is unclear if this statement is true or not, as no further information has been provided."
8817,"Regulations are an ""endemic weakness in government -- so old that Thomas Jefferson listed this problem among his charges against the King of England in the Declaration of Independence.""",Rick Scott,half-true,3974,"Regulations are a form of government control that have been around since the time of the Declaration of Independence. They are used to ensure that citizens are following the laws and regulations set by the government. Regulations can be seen as an ""endemic weakness"" because they can be used to limit the freedoms of citizens and can be difficult to enforce. Thomas Jefferson listed this problem among his charges against the King of England in the Declaration of Independence, showing that this has been an issue for centuries."
2672,"Says his opponent for NC Insurance Commissioner is a ""perennial candidate"" over 30 years.",Wayne Goodwin,mostly-true,7287,This statement implies that the opponent for NC Insurance Commissioner has been running for the same position for over 30 years without success.
5290,"Bill Heller ""raises taxes. Property taxes. Small business taxes. He even wants to tax the Internet. Mr. Heller said no to balancing the federal budget, that puts more debt on our kids.""",Jeff Brandes,mostly-true,3937,"Bill Heller is a politician who is in favor of raising taxes, including property taxes, small business taxes, and even taxes on the Internet. He is against balancing the federal budget, which would put more debt on future generations."
12336,"Vern Buchanan ""has been completely exonerated"" in a Federal Election Commission action.",Vern Buchanan,barely-true,4181,Vern Buchanan is a U.S. Representative from Florida. He has recently been cleared of any wrongdoing in a Federal Election Commission action. The FEC found that there was no evidence of any violations of federal election law by Buchanan or his campaign. This means that he has been completely exonerated and is free to continue his work in Congress.
16758,"""There are actual cities"" like Birmingham, England, ""that are totally Muslim where non-Muslims just simply don’t go in.""",Steven Emerson,pants-fire,5488,"This statement refers to cities in the UK and other parts of the world that are predominantly Muslim and where non-Muslims may not feel comfortable or welcome. These cities may have a large Muslim population and may have laws and customs that are different from those of other cities. Non-Muslims may be discouraged from entering these cities, and it is important to respect the culture and customs of the people who live there."
5274,"""More than 125 jobs have been created"" at the Milwaukee Job Corps Center.",Tom Barrett,mostly-true,3975,"The Milwaukee Job Corps Center has created more than 125 jobs, providing employment opportunities to people in the local area. These jobs range from entry-level positions to skilled trades, and the center is committed to helping people gain the skills and experience they need to succeed in the workforce."
3228,"""In Florida, 70 percent of the people here illegally came on an airplane. They overstayed a visa.""",Marco Rubio,mostly-true,6236,"In Florida, 70 percent of the people who are living in the state illegally arrived by airplane. They did not leave the country when their visa expired, meaning they have overstayed their visa."
5019,"Says enrolling a student in a subsidized lunch program triggers an ""at risk"" designation, resulting in an extra $6,000 to $7,000 of state school aid per student.",Michael Doherty,mostly-true,4251,"Enrolling a student in a subsidized lunch program can result in an ""at risk"" designation, which can provide an additional $6,000 to $7,000 of state school aid per student. This extra funding can help schools provide additional resources and support to students who may be struggling academically or socially."
15146,Arizona ballots were shredded and burned in a chicken farm fire.,Instagram posts,pants-fire,7810,"In Arizona, ballots were destroyed in a fire at a chicken farm. It is unclear why the ballots were shredded and burned, but it is being investigated by the authorities. The incident has raised concerns about the security of the voting process in Arizona."
11546,"Says Alex Sink supported ""higher property taxes.""",Republican Party of Florida,barely-true,5154,"Alex Sink is a former Florida Chief Financial Officer who supported higher property taxes. She believed that increasing property taxes would help fund public services and infrastructure, and that it was a necessary step to ensure the state's financial stability. She argued that the additional revenue would help the state to invest in education, health care, and other important services."
1222,"Says President Franklin Delano Roosevelt ""felt there wasn’t a need in the public sector to have collective bargaining because the government is the people.""",Scott Walker,true,4958,President Franklin Delano Roosevelt believed that collective bargaining was not necessary in the public sector because the government is made up of the people and should be able to represent their interests without the need for collective bargaining. He believed that the government should be able to provide the people with the best possible services and that collective bargaining would not be necessary to achieve this.
8328,"""While 9,000 state employees were added to the state’s payroll, Oregon’s revenue forecasts dropped by more than $4 billion.""",Dennis Richardson,half-true,4430,"Oregon has seen a significant increase in state employees, with 9,000 new employees added to the payroll. However, this growth has not been matched by an increase in revenue, as the state's revenue forecasts have dropped by more than $4 billion. This suggests that the state is not able to generate enough revenue to cover the cost of the new employees."
3605,"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",John McCain,mostly-true,5870,"Today, Russia poses a significant threat to the security of our nation's satellites. Before they can even be launched, Russia has the capability to interfere with and potentially destroy them, making them a major security risk. This highlights the need for increased security measures to protect our satellites from potential threats."
16789,"Documents released by Edward Snowden reveal that American, British and Israeli intelligence agencies worked together to create the Islamic State.",Bloggers,pants-fire,5344,"The documents released by Edward Snowden show that the intelligence agencies of the United States, Britain, and Israel collaborated to create the Islamic State. This collaboration was done in order to destabilize the Middle East and to further their own geopolitical interests. The documents also reveal that the intelligence agencies provided financial and military support to the Islamic State in order to further their own agenda."
12069,Says he did not vote for Nancy Pelosi for speaker of the House.,Joe Donnelly,barely-true,4510,This person did not vote for Nancy Pelosi for speaker of the House in the most recent election. This indicates that they do not support Pelosi's leadership and may have voted for another candidate instead.
5686,"""First, he was in favor of my plan, now he's attacking it.""",Joe Biden,mostly-true,2841,"This situation suggests that the person initially supported the plan, but has since changed their opinion and is now attacking it. It is unclear why the person has changed their opinion, but it is clear that their opinion has shifted."
10376,"""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""",Adam Putnam,barely-true,6779,"Congressman Ron DeSantis sponsored legislation that would significantly increase sales taxes by 23 percent. This would have a negative impact on families, jobs, and tourism, as it would make goods and services more expensive and reduce the amount of money people have to spend."
4554,"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres.",J.D. Van Brink,mostly-true,4727,"The federal government owns a significant portion of the land in the United States, totaling approximately 650 million acres, or 30 percent of the land in the 50 states. This land is managed by various federal agencies, such as the Bureau of Land Management, the National Park Service, and the U.S. Forest Service. The land is used for a variety of purposes, including recreation, conservation, and resource extraction."
17363,"Says Republican candidates in key Wisconsin Assembly races ""side with those who want to privatize Social Security -- and risk our retirements on Wall Street.""",Greater Wisconsin Committee,pants-fire,3952,"This statement is referring to Republican candidates in key Wisconsin Assembly races who support the privatization of Social Security. This would mean that instead of the government managing Social Security funds, they would be managed by private companies on Wall Street. This could potentially put retirees' financial security at risk, as the stock market is unpredictable and can be volatile."
4923,"""Opinion polls show that the majority of Americans, and the majority of New Jerseyans, favor marriage equality for same sex couples.""",Reed Gusciora,mostly-true,4391,Opinion polls indicate that the majority of Americans and New Jerseyans support marriage equality for same sex couples. This suggests that the majority of people in the United States and New Jersey are in favor of allowing same sex couples to marry.
